Area,Branch,App,Mode,Feature,Status,Reachable,UX Complete,Safety Complete,Algorithm Complete,Documentation Complete,Description,UI Reference,Localization,Notes
Core,main,Apple Watch,Diving,Live dive computer,Implemented,Yes,Yes,Yes,"Schermata primaria con profondita attuale, TTV, RunTime, gauge risalita, cronometro e START/STOP/RESET.",MASTER_REFERENCE_DIVING_LIVE.png,—,"Stabile; preservare logica immersione, calcoli e warning."
Core,main,Apple Watch,Diving,GPS inizio/fine immersione,Implemented,Yes,Yes,Yes,Registra punti GPS di superficie a inizio e fine immersione con best-effort fix.,gps_start_wait_from_workflow.png; gps_end_registered_from_workflow.png,—,GPS non affidabile sott'acqua; solo metadata di superficie.
Core,main,Apple Watch,Diving,Avviso risalita (banner inline),Implemented,Yes,Yes,Yes,"Banner rosso non bloccante tra TTV/RunTime e profondita; gauge, depth, cronometro e controlli restano visibili; haptic first+repeat ~1.75 s.",ascent_alarm.png; ascent_warning_from_workflow.png,"it, en: ascent_alarm_title, ascent_alarm_instruction, ascent_alarm_speed_unit, ascent_alarm_accessibility_hint",Policy: Docs/WATCH_MAIN_UX_CONVENTIONS.md; codice AscentWarningBannerView. Soglie/algoritmi risalita invariati.
Core,main,Apple Watch,Diving,Bussola,Implemented,Yes,Yes,Yes,"Bussola dedicata con heading, SET BEARING, CLEAR e stato permessi/disponibilita.",compass_in_dive_CORRECT_from_workflow.png,—,Terminologia UI: BUSSOLA quando richiesto; nessuna promessa di tasto laterale non gestito.
Core,main,Apple Watch,Diving,Log immersioni,Implemented,Yes,Yes,Yes,"Lista immersioni, dettaglio, coordinate reali quando disponibili, delete e export CSV ultimo/dettaglio.",dive_log_from_workflow.png; dive_detail_from_workflow.png,—,Mantiene ultime sessioni e sync iCloud/WatchConnectivity dove disponibile.
Core,main,Apple Watch,Diving,Export Subsurface,Implemented,Yes,Yes,Yes,"CSV importabile in flusso Subsurface con profondita, temperatura e coordinate; feedback export/share su detail e ultima immersione.",export_subsurface_from_workflow.png,—,Formato CSV documentato in Docs/iOS/SUBSURFACE_EXPORT.md.
Core,main,Apple Watch,Utility,Image viewer,Implemented,Yes,Yes,Yes,Browser immagini/checklist statiche bundle.,image_browser_from_workflow.png,—,Caricamento da Resources/UserImages.
Core,main,Apple Watch,Settings,"Impostazioni, allarmi, info batteria",Implemented,Yes,Yes,Yes,"Settings raggiungibile con limiti risalita, allarmi persistenti, haptic on/off, stato GPS, stato sensore profondita, sync, device e batteria reale.",settings_from_workflow.png; alarms_from_workflow.png; info_battery_from_workflow.png,—,Le unita restano metriche fisse; schermo/Always On gestiti da watchOS.
Core,main,Apple Watch,Navigation,Stable main gating,Implemented,Yes,Yes,Yes,"La navigazione main espone solo Diving, bussola, settings, immagini e log; Apnea/Snorkeling/Buddy restano experimental.",MASTER_REFERENCE_DIVING_LIVE.png,—,Previene dipendenze UI production da superfici sperimentali.
Core,main,Apple Watch,Diving,GPS confirmation screens,Implemented,Yes,Yes,Yes,Le conferme punto inizio/fine sono mostrate dal lifecycle immersione e usano stato non disponibile se manca il fix.,gps_start_wait_from_workflow.png; gps_end_registered_from_workflow.png,—,Nessuna coordinata finta su sessioni senza GPS.
Experimental,codex/experimental-features,Apple Watch,Snorkeling,Snorkeling Live,Experimental,Experimental,Experimental,Experimental,"Runtime, distanza, velocita media, profondita attuale, GPS, waypoint, ritorno e marcatori.",01_snorkeling_live_final.png,—,UI sperimentale; riusa ExplorationStore e GPSManager.
Experimental,codex/experimental-features,Apple Watch,Snorkeling,Mappa Waypoint,UI-only,Partial,Partial,Partial,"Mappa leggera SwiftUI con griglia marina, rotta tratteggiata gialla, marker corrente e waypoint.",02_Mappa_Waypoint_reference.png,—,Nessun tile online su Watch; TODO per MBTiles/sync iOS.
Experimental,codex/experimental-features,Apple Watch,Snorkeling,Mappa Ritorno,UI-only,Partial,Partial,Partial,Mappa leggera SwiftUI per ritorno al punto di partenza con rotta ciano e home marker.,03_Mappa_Ritorno_reference.png,—,Separata da Mappa Waypoint.
Experimental,codex/experimental-features,Apple Watch,Snorkeling,Direzione Waypoint,UI-only,Partial,Partial,Partial,"Dial stile bussola che mostra bearing verso waypoint, non bussola generica.",04_Direzione_Waypoint_reference.png,—,Non cambia algoritmi bussola.
Experimental,codex/experimental-features,Apple Watch,Snorkeling,Log Marcatori POI,Experimental,Experimental,Experimental,Experimental,Lista POI/marker snorkeling raggiungibile da settings/live flow con stato arricchimento iPhone e tap verso dettaglio.,05_Log_Marcatori_POI_AppleWatch_reference.png,—,Watch-sized UI; dati da ExplorationStore.
Experimental,codex/experimental-features,Apple Watch,Snorkeling,Dettaglio Marcatore POI,Experimental,Experimental,Experimental,Experimental,"Dettaglio POI con ora, distanza, direzione, profondita, temperatura, waypoint, session id e stato Da arricchire su iPhone.",06_Dettaglio_Marcatore_POI_AppleWatch_reference.png,—,Watch non modifica foto/commenti; sync iOS resta TODO esplicito.
Experimental,codex/experimental-features,Apple Watch,Snorkeling,GPS Marker confirmation,Experimental,Experimental,Experimental,Experimental,"Conferma marker salvato con check verde, haptic, coordinate o GPS non disponibile, link a log/dettaglio.",gps_marker_style_reference.png,—,Payload leggero include timestamp/GPS/profondita/temperatura/bearing/waypoint/sessione quando disponibili.
Experimental,codex/experimental-features,Apple Watch,Snorkeling,Allarmi Snorkeling,Experimental,Experimental,Experimental,Experimental,"Soglie snorkeling modificabili e persistite localmente via AppStorage: profondita, tempo, distanza, batteria.",08_Allarmi_Snorkeling_reference.png,—,Store dedicato e sync settings restano TODO.
Experimental,codex/experimental-features,Apple Watch,Apnea,Apnea assistant,Experimental,Experimental,Experimental,Experimental,"Timer apnea, recovery assistant, counter, warning e blocco bussola.",MASTER_REFERENCE_DIVING_LIVE.png,—,Training aid; non sostituisce procedure buddy.
Experimental,codex/experimental-features,Apple Watch,Apnea,Apnea menu e session type,Experimental,Experimental,Experimental,Experimental,"Menu Apnea con Sessione, Tabelle, Statistiche, Logbook e selezione Acque Libere.",APNEA_WORKFLOW_02_03,—,"Dinamica, Statica e Personalizzata sono placeholder disabilitati."
Experimental,codex/experimental-features,Apple Watch,Apnea,Open-water configuration,Experimental,Experimental,Experimental,Experimental,"Configurazione per allarmi, intervallo superficie e profondita massima con valori persistiti localmente via AppStorage.",APNEA_WORKFLOW_04,—,Modello Apnea dedicato e sync settings restano TODO.
Experimental,codex/experimental-features,Apple Watch,Apnea,Countdown e surface waiting,Experimental,Experimental,Experimental,Experimental,"Countdown automatico 03/02/01 VAI, tap manuale e haptic tick/start prima della sessione superficie.",APNEA_WORKFLOW_05_06,—,Non modifica algoritmi profondita o risalita.
Experimental,codex/experimental-features,Apple Watch,Apnea,Session lifecycle,Experimental,Experimental,Experimental,Experimental,"Avvio automatico immersione da profondita, chiusura al ritorno in superficie e recovery timer.",APNEA_WORKFLOW_07_12,—,Usa ExplorationStore esistente; non modifica algoritmi profondita o risalita.
Experimental,codex/experimental-features,Apple Watch,Apnea,"Summary, profile, details, save",UI-only,Partial,Partial,Partial,"Riepilogo, grafico, dettagli e conferma salvataggio per la sessione Apnea.",APNEA_WORKFLOW_13_16,—,"Durata e max depth reali se presenti; profilo, HR, temperatura e medie sono TODO."
Experimental,codex/experimental-features,Apple Watch,Apnea,Logbook e statistiche Apnea,UI-only,Partial,Partial,Partial,Lista e statistiche Apnea con record recente e metriche aggregate parziali.,APNEA_WORKFLOW_17_18,—,Storico completo e aggregati restano TODO finche il modello non espone i dati.
Experimental,codex/experimental-features,Apple Watch,Buddy Assist,Buddy pairing/messages,Experimental,Experimental,Experimental,Experimental,"Pairing pre-dive, messaggi preset, Buddy Link, proximity e HMAC envelope.",SecureBuddyPairingMockup.svg,—,Limitazioni watchOS BLE documentate.
Core,main-iOS,iOS,Companion,Logbook companion,Implemented,Yes,Yes,Yes,"Logbook iOS premium con titolo, ricerca scura, stacked dive cards, thumbnail e tabbar attiva ciano.",ios_logbook_reference.png; iOS_look_feel.png,—,"Branch iOS stabile; allineamento UI-only, sync WatchConnectivity invariato."
Core,main-iOS,iOS,Companion,Dive detail companion,Implemented,Yes,Yes,Yes,"Dettaglio immersione con tab riepilogo/grafici/dettagli, immagine sito, griglia metriche, grafico profondita ciano, gas card ed export.",ios_dive_detail_reference.png; iOS_look_feel.png,—,"UI-only; export, modelli e dati immersione invariati."
Core,main-iOS,iOS,Companion,Planner iOS input,Implemented,Yes,Yes,Yes,"Planner con titolo, disclaimer in-app, controllo segmentato modalita, profilo immersione, gas cards con bordi neon e pulsante ciano Calcola Piano.",ios_planner_reference.png; iOS_look_feel.png,—,Calcoli/store/binding invariati; disclaimer obbligatorio per output semplificato.
