ID,Activity,Mode,Platform,Feature,Entry_Point,Screen,Owning_View,Owning_Store,Implementation_Status,Reachable,Interaction_Complete,State_Complete,Localized_IT,Localized_EN,Accessible,Persisted,Restored,Synced,Exported,Tested,Documented,Mockup_Aligned,Safety_Truthful,Readiness_Percent,Severity,Finding_IDs,Notes
APNEA-F001,Apnea,All,iOS,Dashboard,Apnea tab,IOSApneaDashboardView,IOSApneaDashboardView,IOSApneaLogbookStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,92,,,
APNEA-F002,Apnea,All,iOS,Sessions logbook,Apnea tab,IOSApneaSessionsListView,IOSApneaLogbookStore,IOSApneaLogbookStore,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,90,,,
APNEA-F003,Apnea,All,iOS,Statistics,Apnea tab,IOSApneaStatisticsView,IOSApneaLogbookStore,IOSApneaLogbookStore,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,89,,,
APNEA-F004,Apnea,All,iOS,Profiles/training,Apnea tab,IOSApneaProfilesView,IOSApneaProfileStore,IOSApneaProfileStore,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,88,P2,MUIUX-P2-007,Alarms/markers editor gap
APNEA-F005,Apnea,All,iOS,Settings content,Settings sheet,IOSApneaSettingsContent,IOSApneaSettingsStore,IOSApneaSettingsStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,yes,yes,partial,yes,93,,,
APNEA-F006,Apnea,All,iOS,Session planner,Dashboard,IOSApneaSessionPlannerView,IOSApneaSessionPlannerView,IOSApneaProfileStore,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,90,,,P1/P2/P3 training steps
APNEA-F007,Apnea,All,iOS,Equipment/buddy,Settings,IOSApneaEquipmentView,IOSApneaEquipmentStore,IOSApneaEquipmentStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,87,,,
APNEA-F008,Apnea,All,iOS,Export,Settings,IOSApneaExportView,IOSApneaExportService,IOSApneaLogbookStore,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,86,,,
APNEA-F009,Apnea,All,Watch,Live session,Apnea activity,ApneaView,ApneaWatchRuntimeStore,ApneaWatchRuntimeStore,Fully implemented,yes,yes,partial,yes,partial,yes,partial,yes,yes,yes,yes,yes,partial,yes,89,P2,MUIUX-P2-006,Hardcoded title
APNEA-F010,Apnea,All,Watch,Recovery overlay,Live,ApneaView,ApneaWatchRuntimeStore,ApneaWatchRuntimeStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,91,,,
APNEA-F011,Apnea,All,Watch,Training P1/P2/P3 overlays,Live,ApneaView,ApneaWatchRuntimeStore,ApneaWatchRuntimeStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,90,,,@76f3703
APNEA-F012,Apnea,All,Watch,In-mode Settings,Gear button,SettingsView,WatchActivitySettingsSections,WatchActivitySettingsSections,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,n/a,yes,yes,partial,yes,92,,,Blocked during active session
APNEA-F013,Apnea,All,Watch,Automatic detection,Live,ApneaView,ApneaWatchRuntimeStore,ApneaWatchRuntimeStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,90,,,Physical QA pending
APNEA-F014,Apnea,All,Watch,Crown underwater live-only,Active session,ContentView,WatchUnderwaterPagePolicy,AppNavigationStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,n/a,n/a,n/a,yes,yes,partial,yes,94,P1,MUIUX-P1-002,Physical pending
APNEA-F015,Apnea,All,Watch,Water auto-open route,Settings/policy,WatchWaterAutoOpenPolicy,WatchWaterAutoOpenPolicy,WatchWaterAutoOpenPolicy,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,n/a,yes,yes,partial,yes,91,P1,MUIUX-P1-001,Does not start session
