Finding_ID,Priority,Original_Status,Current_Status,Root_Cause,Affected_Platform,Affected_Screen,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_Summary,Acceptance_Criteria,Validation_Command,Validation_Result,Evidence,Residual_Risk,Physical_QA_Required,External_Validation_Required,Notes
UIUX-001,P1,OPEN,PENDING_PHYSICAL_QA,No physical QA evidence executed,Both,Release QA,Docs/QA_EVIDENCE/*,false,false,false,true,Documented as pending gate,Evidence folders populated,Manual QA,N/A,README-only folders,true,false,Not code-fixable
UIUX-002,P1,OPEN,VERIFIED,Interactable cloud preference stub implied upload,iOS,Snorkeling export,IOSSnorkelingSessionExportView.swift SnorkelingCloudCapability.swift,true,true,false,true,Explicit unavailable status matching Apnea pattern,No toggle; status-only section,./Scripts/validate_ui_ux_main_readiness.sh,PASS,SnorkelingCloudBackupTruthfulnessTests,false,false,
UIUX-003,P1,OPEN,VERIFIED,Sync rows lacked VoiceOver semantics,iOS,More/Settings,MoreView.swift,true,true,false,true,accessibleInfoRow + button a11y on sync/cloud/conflicts,All sync rows labeled,UIUXMainRemediationCurrentTests,PASS,Source + contract tests,false,false,
UIUX-004,P1,OPEN,VERIFIED,Hardcoded dd/MM/yyyy HH:mm,Watch,Logbook detail,DiveDetailView.swift WatchLocaleAdaptiveDateFormatting.swift,true,true,false,true,Locale-adaptive formatted dates,No static dateFormat in detail,UIUXMainRemediationCurrentTests,PASS,WatchLocaleAdaptiveDateFormatting,false,false,
UIUX-005,P1,OPEN,PENDING_PHYSICAL_QA,No physical PDF render evidence,Both,PDF export,Docs/QA_EVIDENCE/PDF_RENDER/,false,false,false,true,Gate documented pending,Golden PDFs captured,Manual QA,N/A,README only,true,false,Not code-fixable
UIUX-006,P2,OPEN,VERIFIED,Inactive tabs readable by VoiceOver,iOS,Apnea/Snorkeling roots,IOSApneaRootView.swift IOSSnorkelingRootView.swift,true,true,false,true,accessibilityHidden on inactive tabs,Matches Diving ContentView,UIUXMainRemediationCurrentTests,PASS,Source inspection,false,false,
UIUX-007,P2,OPEN,VERIFIED,Ascent speeds only in Settings,iOS,Planner,PlannerModeSelectionView.swift PlannerView.swift PlannerAscentSpeedSettingsLink.swift,true,true,false,true,Contextual link + toolbar NavigationLink,Discoverable from planner,UIUXMainRemediationCurrentTests,PASS,Navigation contract tests,false,false,
UIUX-008,P2,OPEN,VERIFIED,No per-card briefing detail,Watch,Briefing cards,PlannerBriefingCardsView.swift PlannerBriefingCardDetailSheet.swift,true,true,false,true,Sheet detail with zoom/readable image + delete confirm,Tap opens detail,UIUXMainRemediationCurrentTests,PASS,Source tests,false,false,
UIUX-009,P2,OPEN,VERIFIED,Sentence-as-key localization,Both,Legal/sync/info,WatchLegalOnboardingView.swift LegalAcceptanceStore.swift WatchSyncDiagnosticsView.swift InfoView.swift MoreView.swift,true,true,false,true,Semantic keys for legal/sync/version,No Italian-as-key in touched paths,audit_localization.sh,PASS,l10n audit 0 hardcoded watch,false,false,
UIUX-010,P2,OPEN,VERIFIED,Live banners lacked VoiceOver,DiveLiveView.swift,true,true,false,true,a11y on sync/gps/warning banners,Banners labeled,UIUXMainRemediationCurrentTests,PASS,Source tests,false,false,
UIUX-011,P3,OPEN,VERIFIED,Duplicated DIR DIVING literals,Both,Headers,multiple Watch views Utils/DIRBrandPresentation.swift,true,true,false,true,Centralized DIRBrandPresentation.displayName,No Text("DIR DIVING") in touched views,UIUXMainRemediationCurrentTests,PASS,Brand tests,false,false,
UIUX-012,P3,OPEN,VERIFIED,Mockup PNGs absent locally,Both,Design refs,mockups/ Docs/UI_UX_MOCKUP_INVENTORY_CURRENT.csv,false,false,false,true,External-source classification + inventory CSV,README + CSV traceability,validate_ui_ux_main_readiness.sh,PASS,Inventory CSV,false,false,
